internal_id,name,rarity,types,serie_id,serie_name,set_id,set_name,release_date
51,Koffing,Common,['Grass'],base,Base,base1,Base Set,1999-01-09
52,Machop,Common,['Fighting'],base,Base,base1,Base Set,1999-01-09
53,Magnemite,Common,['Lightning'],base,Base,base1,Base Set,1999-01-09
54,Metapod,Common,['Grass'],base,Base,base1,Base Set,1999-01-09
55,Nidoran♂,Common,['Grass'],base,Base,base1,Base Set,1999-01-09
56,Onix,Common,['Fighting'],base,Base,base1,Base Set,1999-01-09
57,Pidgey,Common,['Colorless'],base,Base,base1,Base Set,1999-01-09
58,Pikachu,Common,['Lightning'],base,Base,base1,Base Set,1999-01-09
59,Poliwag,Common,['Water'],base,Base,base1,Base Set,1999-01-09
60,Ponyta,Common,['Fire'],base,Base,base1,Base Set,1999-01-09
61,Rattata,Common,['Colorless'],base,Base,base1,Base Set,1999-01-09
62,Sandshrew,Common,['Fighting'],base,Base,base1,Base Set,1999-01-09
63,Squirtle,Common,['Water'],base,Base,base1,Base Set,1999-01-09
64,Starmie,Common,['Water'],base,Base,base1,Base Set,1999-01-09
65,Staryu,Common,['Water'],base,Base,base1,Base Set,1999-01-09
66,Tangela,Common,['Grass'],base,Base,base1,Base Set,1999-01-09
67,Voltorb,Common,['Lightning'],base,Base,base1,Base Set,1999-01-09
68,Vulpix,Common,['Fire'],base,Base,base1,Base Set,1999-01-09
69,Weedle,Common,['Grass'],base,Base,base1,Base Set,1999-01-09
1,Clefable,Rare,['Colorless'],base,Base,base2,Jungle,1999-06-16
2,Electrode,Rare,['Lightning'],base,Base,base2,Jungle,1999-06-16
3,Flareon,Rare,['Fire'],base,Base,base2,Jungle,1999-06-16
4,Jolteon,Rare,['Lightning'],base,Base,base2,Jungle,1999-06-16
5,Kangaskhan,Rare,['Colorless'],base,Base,base2,Jungle,1999-06-16
6,Mr. Mime,Rare,['Psychic'],base,Base,base2,Jungle,1999-06-16
7,Nidoqueen,Rare,['Grass'],base,Base,base2,Jungle,1999-06-16
8,Pidgeot,Rare,['Colorless'],base,Base,base2,Jungle,1999-06-16
9,Pinsir,Rare,['Grass'],base,Base,base2,Jungle,1999-06-16
10,Scyther,Rare,['Grass'],base,Base,base2,Jungle,1999-06-16
11,Snorlax,Rare,['Colorless'],base,Base,base2,Jungle,1999-06-16
12,Vaporeon,Rare,['Water'],base,Base,base2,Jungle,1999-06-16
13,Venomoth,Rare,['Grass'],base,Base,base2,Jungle,1999-06-16
14,Victreebel,Rare,['Grass'],base,Base,base2,Jungle,1999-06-16
15,Vileplume,Rare,['Grass'],base,Base,base2,Jungle,1999-06-16
16,Wigglytuff,Rare,['Colorless'],base,Base,base2,Jungle,1999-06-16
17,Clefable,Rare,['Colorless'],base,Base,base2,Jungle,1999-06-16
18,Electrode,Rare,['Lightning'],base,Base,base2,Jungle,1999-06-16
19,Flareon,Rare,['Fire'],base,Base,base2,Jungle,1999-06-16
20,Jolteon,Rare,['Lightning'],base,Base,base2,Jungle,1999-06-16
21,Kangaskhan,Rare,['Colorless'],base,Base,base2,Jungle,1999-06-16
22,Mr. Mime,Rare,['Psychic'],base,Base,base2,Jungle,1999-06-16
23,Nidoqueen,Rare,['Grass'],base,Base,base2,Jungle,1999-06-16
24,Pidgeot,Rare,['Colorless'],base,Base,base2,Jungle,1999-06-16
25,Pinsir,Rare,['Grass'],base,Base,base2,Jungle,1999-06-16
26,Scyther,Rare,['Grass'],base,Base,base2,Jungle,1999-06-16
27,Snorlax,Rare,['Colorless'],base,Base,base2,Jungle,1999-06-16
28,Vaporeon,Rare,['Water'],base,Base,base2,Jungle,1999-06-16
29,Venomoth,Rare,['Grass'],base,Base,base2,Jungle,1999-06-16
30,Victreebel,Rare,['Grass'],base,Base,base2,Jungle,1999-06-16
31,Vileplume,Rare,['Grass'],base,Base,base2,Jungle,1999-06-16
32,Wigglytuff,Rare,['Colorless'],base,Base,base2,Jungle,1999-06-16
33,Butterfree,Uncommon,['Grass'],base,Base,base2,Jungle,1999-06-16
34,Dodrio,Uncommon,['Colorless'],base,Base,base2,Jungle,1999-06-16
35,Exeggutor,Uncommon,['Grass'],base,Base,base2,Jungle,1999-06-16
36,Fearow,Uncommon,['Colorless'],base,Base,base2,Jungle,1999-06-16
37,Gloom,Uncommon,['Grass'],base,Base,base2,Jungle,1999-06-16
38,Lickitung,Uncommon,['Colorless'],base,Base,base2,Jungle,1999-06-16
39,Marowak,Uncommon,['Fighting'],base,Base,base2,Jungle,1999-06-16
40,Nidorina,Uncommon,['Grass'],base,Base,base2,Jungle,1999-06-16
41,Parasect,Uncommon,['Grass'],base,Base,base2,Jungle,1999-06-16
42,Persian,Uncommon,['Colorless'],base,Base,base2,Jungle,1999-06-16
43,Primeape,Uncommon,['Fighting'],base,Base,base2,Jungle,1999-06-16
44,Rapidash,Uncommon,['Fire'],base,Base,base2,Jungle,1999-06-16
45,Rhydon,Uncommon,['Fighting'],base,Base,base2,Jungle,1999-06-16
46,Seaking,Uncommon,['Water'],base,Base,base2,Jungle,1999-06-16
47,Tauros,Uncommon,['Colorless'],base,Base,base2,Jungle,1999-06-16
48,Weepinbell,Uncommon,['Grass'],base,Base,base2,Jungle,1999-06-16
49,Bellsprout,Common,['Grass'],base,Base,base2,Jungle,1999-06-16
50,Cubone,Common,['Fighting'],base,Base,base2,Jungle,1999-06-16
51,Eevee,Common,['Colorless'],base,Base,base2,Jungle,1999-06-16
52,Exeggcute,Common,['Grass'],base,Base,base2,Jungle,1999-06-16
53,Goldeen,Common,['Water'],base,Base,base2,Jungle,1999-06-16
54,Jigglypuff,Common,['Colorless'],base,Base,base2,Jungle,1999-06-16
55,Mankey,Common,['Fighting'],base,Base,base2,Jungle,1999-06-16
56,Meowth,Common,['Colorless'],base,Base,base2,Jungle,1999-06-16
57,Nidoran♀,Common,['Grass'],base,Base,base2,Jungle,1999-06-16
58,Oddish,Common,['Grass'],base,Base,base2,Jungle,1999-06-16
59,Paras,Common,['Grass'],base,Base,base2,Jungle,1999-06-16
60,Pikachu,Common,['Lightning'],base,Base,base2,Jungle,1999-06-16
61,Rhyhorn,Common,['Fighting'],base,Base,base2,Jungle,1999-06-16
62,Spearow,Common,['Colorless'],base,Base,base2,Jungle,1999-06-16
63,Venonat,Common,['Grass'],base,Base,base2,Jungle,1999-06-16
1,Aerodactyl,Rare,['Fighting'],base,Base,base3,Fossil,1999-10-10
2,Articuno,Rare,['Water'],base,Base,base3,Fossil,1999-10-10
3,Ditto,Rare,['Colorless'],base,Base,base3,Fossil,1999-10-10
4,Dragonite,Rare,['Colorless'],base,Base,base3,Fossil,1999-10-10
5,Gengar,Rare,['Psychic'],base,Base,base3,Fossil,1999-10-10
6,Haunter,Rare,['Psychic'],base,Base,base3,Fossil,1999-10-10
7,Hitmonlee,Rare,['Fighting'],base,Base,base3,Fossil,1999-10-10
8,Hypno,Rare,['Psychic'],base,Base,base3,Fossil,1999-10-10
9,Kabutops,Rare,['Fighting'],base,Base,base3,Fossil,1999-10-10
10,Lapras,Rare,['Water'],base,Base,base3,Fossil,1999-10-10
11,Magneton,Rare,['Lightning'],base,Base,base3,Fossil,1999-10-10
12,Moltres,Rare,['Fire'],base,Base,base3,Fossil,1999-10-10
13,Muk,Rare,['Grass'],base,Base,base3,Fossil,1999-10-10
14,Raichu,Rare,['Lightning'],base,Base,base3,Fossil,1999-10-10
15,Zapdos,Rare,['Lightning'],base,Base,base3,Fossil,1999-10-10
16,Aerodactyl,Rare,['Fighting'],base,Base,base3,Fossil,1999-10-10
17,Articuno,Rare,['Water'],base,Base,base3,Fossil,1999-10-10
18,Ditto,Rare,['Colorless'],base,Base,base3,Fossil,1999-10-10
19,Dragonite,Rare,['Colorless'],base,Base,base3,Fossil,1999-10-10
20,Gengar,Rare,['Psychic'],base,Base,base3,Fossil,1999-10-10
21,Haunter,Rare,['Psychic'],base,Base,base3,Fossil,1999-10-10
22,Hitmonlee,Rare,['Fighting'],base,Base,base3,Fossil,1999-10-10
23,Hypno,Rare,['Psychic'],base,Base,base3,Fossil,1999-10-10
24,Kabutops,Rare,['Fighting'],base,Base,base3,Fossil,1999-10-10
25,Lapras,Rare,['Water'],base,Base,base3,Fossil,1999-10-10
26,Magneton,Rare,['Lightning'],base,Base,base3,Fossil,1999-10-10
27,Moltres,Rare,['Fire'],base,Base,base3,Fossil,1999-10-10
28,Muk,Rare,['Grass'],base,Base,base3,Fossil,1999-10-10
29,Raichu,Rare,['Lightning'],base,Base,base3,Fossil,1999-10-10
30,Zapdos,Rare,['Lightning'],base,Base,base3,Fossil,1999-10-10
31,Arbok,Uncommon,['Grass'],base,Base,base3,Fossil,1999-10-10
32,Cloyster,Uncommon,['Water'],base,Base,base3,Fossil,1999-10-10
33,Gastly,Uncommon,['Psychic'],base,Base,base3,Fossil,1999-10-10
34,Golbat,Uncommon,['Grass'],base,Base,base3,Fossil,1999-10-10
35,Golduck,Uncommon,['Water'],base,Base,base3,Fossil,1999-10-10
36,Golem,Uncommon,['Fighting'],base,Base,base3,Fossil,1999-10-10
37,Graveler,Uncommon,['Fighting'],base,Base,base3,Fossil,1999-10-10
38,Kingler,Uncommon,['Water'],base,Base,base3,Fossil,1999-10-10
39,Magmar,Uncommon,['Fire'],base,Base,base3,Fossil,1999-10-10
40,Omastar,Uncommon,['Water'],base,Base,base3,Fossil,1999-10-10
41,Sandslash,Uncommon,['Fighting'],base,Base,base3,Fossil,1999-10-10
42,Seadra,Uncommon,['Water'],base,Base,base3,Fossil,1999-10-10
43,Slowbro,Uncommon,['Psychic'],base,Base,base3,Fossil,1999-10-10
44,Tentacruel,Uncommon,['Water'],base,Base,base3,Fossil,1999-10-10
45,Weezing,Uncommon,['Grass'],base,Base,base3,Fossil,1999-10-10
46,Ekans,Common,['Grass'],base,Base,base3,Fossil,1999-10-10
47,Geodude,Common,['Fighting'],base,Base,base3,Fossil,1999-10-10
48,Grimer,Common,['Grass'],base,Base,base3,Fossil,1999-10-10
49,Horsea,Common,['Water'],base,Base,base3,Fossil,1999-10-10
50,Kabuto,Common,['Fighting'],base,Base,base3,Fossil,1999-10-10
51,Krabby,Common,['Water'],base,Base,base3,Fossil,1999-10-10
52,Omanyte,Common,['Water'],base,Base,base3,Fossil,1999-10-10
53,Psyduck,Common,['Water'],base,Base,base3,Fossil,1999-10-10
54,Shellder,Common,['Water'],base,Base,base3,Fossil,1999-10-10
55,Slowpoke,Common,['Psychic'],base,Base,base3,Fossil,1999-10-10
56,Tentacool,Common,['Water'],base,Base,base3,Fossil,1999-10-10
57,Zubat,Common,['Grass'],base,Base,base3,Fossil,1999-10-10
1,Alakazam,Rare,['Psychic'],base,Base,base4,Base Set 2,2000-02-24
2,Blastoise,Rare,['Water'],base,Base,base4,Base Set 2,2000-02-24
3,Chansey,Rare,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
4,Charizard,Rare,['Fire'],base,Base,base4,Base Set 2,2000-02-24
5,Clefable,Rare,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
6,Clefairy,Rare,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
7,Gyarados,Rare,['Water'],base,Base,base4,Base Set 2,2000-02-24
8,Hitmonchan,Rare,['Fighting'],base,Base,base4,Base Set 2,2000-02-24
9,Magneton,Rare,['Lightning'],base,Base,base4,Base Set 2,2000-02-24
10,Mewtwo,Rare,['Psychic'],base,Base,base4,Base Set 2,2000-02-24
11,Nidoking,Rare,['Grass'],base,Base,base4,Base Set 2,2000-02-24
12,Nidoqueen,Rare,['Grass'],base,Base,base4,Base Set 2,2000-02-24
13,Ninetales,Rare,['Fire'],base,Base,base4,Base Set 2,2000-02-24
14,Pidgeot,Rare,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
15,Poliwrath,Rare,['Water'],base,Base,base4,Base Set 2,2000-02-24
16,Raichu,Rare,['Lightning'],base,Base,base4,Base Set 2,2000-02-24
17,Scyther,Rare,['Grass'],base,Base,base4,Base Set 2,2000-02-24
18,Venusaur,Rare,['Grass'],base,Base,base4,Base Set 2,2000-02-24
19,Wigglytuff,Rare,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
20,Zapdos,Rare,['Lightning'],base,Base,base4,Base Set 2,2000-02-24
21,Beedrill,Rare,['Grass'],base,Base,base4,Base Set 2,2000-02-24
22,Dragonair,Rare,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
23,Dugtrio,Rare,['Fighting'],base,Base,base4,Base Set 2,2000-02-24
24,Electabuzz,Rare,['Lightning'],base,Base,base4,Base Set 2,2000-02-24
25,Electrode,Rare,['Lightning'],base,Base,base4,Base Set 2,2000-02-24
26,Kangaskhan,Rare,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
27,Mr. Mime,Rare,['Psychic'],base,Base,base4,Base Set 2,2000-02-24
28,Pidgeotto,Rare,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
29,Pinsir,Rare,['Grass'],base,Base,base4,Base Set 2,2000-02-24
30,Snorlax,Rare,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
31,Venomoth,Rare,['Grass'],base,Base,base4,Base Set 2,2000-02-24
32,Victreebel,Rare,['Grass'],base,Base,base4,Base Set 2,2000-02-24
33,Arcanine,Uncommon,['Fire'],base,Base,base4,Base Set 2,2000-02-24
34,Butterfree,Uncommon,['Grass'],base,Base,base4,Base Set 2,2000-02-24
35,Charmeleon,Uncommon,['Fire'],base,Base,base4,Base Set 2,2000-02-24
36,Dewgong,Uncommon,['Water'],base,Base,base4,Base Set 2,2000-02-24
37,Dodrio,Uncommon,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
38,Dratini,Uncommon,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
39,Exeggutor,Uncommon,['Grass'],base,Base,base4,Base Set 2,2000-02-24
40,Farfetch'd,Uncommon,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
41,Fearow,Uncommon,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
42,Growlithe,Uncommon,['Fire'],base,Base,base4,Base Set 2,2000-02-24
43,Haunter,Uncommon,['Psychic'],base,Base,base4,Base Set 2,2000-02-24
44,Ivysaur,Uncommon,['Grass'],base,Base,base4,Base Set 2,2000-02-24
45,Jynx,Uncommon,['Psychic'],base,Base,base4,Base Set 2,2000-02-24
46,Kadabra,Uncommon,['Psychic'],base,Base,base4,Base Set 2,2000-02-24
47,Kakuna,Uncommon,['Grass'],base,Base,base4,Base Set 2,2000-02-24
48,Lickitung,Uncommon,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
49,Machoke,Uncommon,['Fighting'],base,Base,base4,Base Set 2,2000-02-24
50,Magikarp,Uncommon,['Water'],base,Base,base4,Base Set 2,2000-02-24
51,Magmar,Uncommon,['Fire'],base,Base,base4,Base Set 2,2000-02-24
52,Marowak,Uncommon,['Fighting'],base,Base,base4,Base Set 2,2000-02-24
53,Nidorina,Uncommon,['Grass'],base,Base,base4,Base Set 2,2000-02-24
54,Nidorino,Uncommon,['Grass'],base,Base,base4,Base Set 2,2000-02-24
55,Parasect,Uncommon,['Grass'],base,Base,base4,Base Set 2,2000-02-24
56,Persian,Uncommon,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
57,Poliwhirl,Uncommon,['Water'],base,Base,base4,Base Set 2,2000-02-24
58,Raticate,Uncommon,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
59,Rhydon,Uncommon,['Fighting'],base,Base,base4,Base Set 2,2000-02-24
60,Seaking,Uncommon,['Water'],base,Base,base4,Base Set 2,2000-02-24
61,Seel,Uncommon,['Water'],base,Base,base4,Base Set 2,2000-02-24
62,Tauros,Uncommon,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
63,Wartortle,Uncommon,['Water'],base,Base,base4,Base Set 2,2000-02-24
64,Weepinbell,Uncommon,['Grass'],base,Base,base4,Base Set 2,2000-02-24
65,Abra,Common,['Psychic'],base,Base,base4,Base Set 2,2000-02-24
66,Bellsprout,Common,['Grass'],base,Base,base4,Base Set 2,2000-02-24
67,Bulbasaur,Common,['Grass'],base,Base,base4,Base Set 2,2000-02-24
68,Caterpie,Common,['Grass'],base,Base,base4,Base Set 2,2000-02-24
69,Charmander,Common,['Fire'],base,Base,base4,Base Set 2,2000-02-24
70,Cubone,Common,['Fighting'],base,Base,base4,Base Set 2,2000-02-24
71,Diglett,Common,['Fighting'],base,Base,base4,Base Set 2,2000-02-24
72,Doduo,Common,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
73,Drowzee,Common,['Psychic'],base,Base,base4,Base Set 2,2000-02-24
74,Exeggcute,Common,['Grass'],base,Base,base4,Base Set 2,2000-02-24
75,Gastly,Common,['Psychic'],base,Base,base4,Base Set 2,2000-02-24
76,Goldeen,Common,['Water'],base,Base,base4,Base Set 2,2000-02-24
77,Jigglypuff,Common,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
78,Machop,Common,['Fighting'],base,Base,base4,Base Set 2,2000-02-24
79,Magnemite,Common,['Lightning'],base,Base,base4,Base Set 2,2000-02-24
80,Meowth,Common,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
81,Metapod,Common,['Grass'],base,Base,base4,Base Set 2,2000-02-24
82,Nidoran♀,Common,['Grass'],base,Base,base4,Base Set 2,2000-02-24
83,Nidoran♂,Common,['Grass'],base,Base,base4,Base Set 2,2000-02-24
84,Onix,Common,['Fighting'],base,Base,base4,Base Set 2,2000-02-24
85,Paras,Common,['Grass'],base,Base,base4,Base Set 2,2000-02-24
86,Pidgey,Common,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
87,Pikachu,Common,['Lightning'],base,Base,base4,Base Set 2,2000-02-24
88,Poliwag,Common,['Water'],base,Base,base4,Base Set 2,2000-02-24
89,Rattata,Common,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
90,Rhyhorn,Common,['Fighting'],base,Base,base4,Base Set 2,2000-02-24
91,Sandshrew,Common,['Fighting'],base,Base,base4,Base Set 2,2000-02-24
92,Spearow,Common,['Colorless'],base,Base,base4,Base Set 2,2000-02-24
93,Squirtle,Common,['Water'],base,Base,base4,Base Set 2,2000-02-24
94,Starmie,Common,['Water'],base,Base,base4,Base Set 2,2000-02-24
95,Staryu,Common,['Water'],base,Base,base4,Base Set 2,2000-02-24
96,Tangela,Common,['Grass'],base,Base,base4,Base Set 2,2000-02-24
97,Venonat,Common,['Grass'],base,Base,base4,Base Set 2,2000-02-24
98,Voltorb,Common,['Lightning'],base,Base,base4,Base Set 2,2000-02-24
99,Vulpix,Common,['Fire'],base,Base,base4,Base Set 2,2000-02-24
100,Weedle,Common,['Grass'],base,Base,base4,Base Set 2,2000-02-24
1,Dark Alakazam,Rare,['Psychic'],base,Base,base5,Team Rocket,2000-04-24
2,Dark Arbok,Rare,['Grass'],base,Base,base5,Team Rocket,2000-04-24
3,Dark Blastoise,Rare,['Water'],base,Base,base5,Team Rocket,2000-04-24
4,Dark Charizard,Rare,['Fire'],base,Base,base5,Team Rocket,2000-04-24
5,Dark Dragonite,Rare,['Colorless'],base,Base,base5,Team Rocket,2000-04-24
6,Dark Dugtrio,Rare,['Fighting'],base,Base,base5,Team Rocket,2000-04-24
7,Dark Golbat,Rare,['Grass'],base,Base,base5,Team Rocket,2000-04-24
8,Dark Gyarados,Rare,['Water'],base,Base,base5,Team Rocket,2000-04-24
9,Dark Hypno,Rare,['Psychic'],base,Base,base5,Team Rocket,2000-04-24
10,Dark Machamp,Rare,['Fighting'],base,Base,base5,Team Rocket,2000-04-24
11,Dark Magneton,Rare,['Lightning'],base,Base,base5,Team Rocket,2000-04-24
12,Dark Slowbro,Rare,['Psychic'],base,Base,base5,Team Rocket,2000-04-24
13,Dark Vileplume,Rare,['Grass'],base,Base,base5,Team Rocket,2000-04-24
14,Dark Weezing,Rare,['Grass'],base,Base,base5,Team Rocket,2000-04-24
18,Dark Alakazam,Rare,['Psychic'],base,Base,base5,Team Rocket,2000-04-24
19,Dark Arbok,Rare,['Grass'],base,Base,base5,Team Rocket,2000-04-24
20,Dark Blastoise,Rare,['Water'],base,Base,base5,Team Rocket,2000-04-24
21,Dark Charizard,Rare,['Fire'],base,Base,base5,Team Rocket,2000-04-24
22,Dark Dragonite,Rare,['Colorless'],base,Base,base5,Team Rocket,2000-04-24
23,Dark Dugtrio,Rare,['Fighting'],base,Base,base5,Team Rocket,2000-04-24
24,Dark Golbat,Rare,['Grass'],base,Base,base5,Team Rocket,2000-04-24
25,Dark Gyarados,Rare,['Water'],base,Base,base5,Team Rocket,2000-04-24
26,Dark Hypno,Rare,['Psychic'],base,Base,base5,Team Rocket,2000-04-24
27,Dark Machamp,Rare,['Fighting'],base,Base,base5,Team Rocket,2000-04-24
28,Dark Magneton,Rare,['Lightning'],base,Base,base5,Team Rocket,2000-04-24
29,Dark Slowbro,Rare,['Psychic'],base,Base,base5,Team Rocket,2000-04-24
30,Dark Vileplume,Rare,['Grass'],base,Base,base5,Team Rocket,2000-04-24
31,Dark Weezing,Rare,['Grass'],base,Base,base5,Team Rocket,2000-04-24
32,Dark Charmeleon,Uncommon,['Fire'],base,Base,base5,Team Rocket,2000-04-24
33,Dark Dragonair,Uncommon,['Colorless'],base,Base,base5,Team Rocket,2000-04-24
34,Dark Electrode,Uncommon,['Lightning'],base,Base,base5,Team Rocket,2000-04-24
35,Dark Flareon,Uncommon,['Fire'],base,Base,base5,Team Rocket,2000-04-24
36,Dark Gloom,Uncommon,['Grass'],base,Base,base5,Team Rocket,2000-04-24
37,Dark Golduck,Uncommon,['Water'],base,Base,base5,Team Rocket,2000-04-24
38,Dark Jolteon,Uncommon,['Lightning'],base,Base,base5,Team Rocket,2000-04-24
39,Dark Kadabra,Uncommon,['Psychic'],base,Base,base5,Team Rocket,2000-04-24
40,Dark Machoke,Uncommon,['Fighting'],base,Base,base5,Team Rocket,2000-04-24
41,Dark Muk,Uncommon,['Grass'],base,Base,base5,Team Rocket,2000-04-24
42,Dark Persian,Uncommon,['Colorless'],base,Base,base5,Team Rocket,2000-04-24
43,Dark Primeape,Uncommon,['Fighting'],base,Base,base5,Team Rocket,2000-04-24
44,Dark Rapidash,Uncommon,['Fire'],base,Base,base5,Team Rocket,2000-04-24
45,Dark Vaporeon,Uncommon,['Water'],base,Base,base5,Team Rocket,2000-04-24
46,Dark Wartortle,Uncommon,['Water'],base,Base,base5,Team Rocket,2000-04-24
47,Magikarp,Uncommon,['Water'],base,Base,base5,Team Rocket,2000-04-24
48,Porygon,Uncommon,['Colorless'],base,Base,base5,Team Rocket,2000-04-24
49,Abra,Common,['Psychic'],base,Base,base5,Team Rocket,2000-04-24
50,Charmander,Common,['Fire'],base,Base,base5,Team Rocket,2000-04-24
51,Dark Raticate,Common,['Colorless'],base,Base,base5,Team Rocket,2000-04-24
52,Diglett,Common,['Fighting'],base,Base,base5,Team Rocket,2000-04-24
53,Dratini,Common,['Colorless'],base,Base,base5,Team Rocket,2000-04-24
54,Drowzee,Common,['Psychic'],base,Base,base5,Team Rocket,2000-04-24
55,Eevee,Common,['Colorless'],base,Base,base5,Team Rocket,2000-04-24
56,Ekans,Common,['Grass'],base,Base,base5,Team Rocket,2000-04-24
57,Grimer,Common,['Grass'],base,Base,base5,Team Rocket,2000-04-24
58,Koffing,Common,['Grass'],base,Base,base5,Team Rocket,2000-04-24
59,Machop,Common,['Fighting'],base,Base,base5,Team Rocket,2000-04-24
60,Magnemite,Common,['Lightning'],base,Base,base5,Team Rocket,2000-04-24
61,Mankey,Common,['Fighting'],base,Base,base5,Team Rocket,2000-04-24
62,Meowth,Common,['Colorless'],base,Base,base5,Team Rocket,2000-04-24
63,Oddish,Common,['Grass'],base,Base,base5,Team Rocket,2000-04-24
64,Ponyta,Common,['Fire'],base,Base,base5,Team Rocket,2000-04-24
65,Psyduck,Common,['Water'],base,Base,base5,Team Rocket,2000-04-24
